question_id,question,option_A,option_B,option_C,option_D,correct_option,difficulty_level,category,topic,tags,difficulty_encoded
203,Which tag is used to insert an image in HTML?, <src>,<image>,<img>,<picture>,C,Easy,Web Development, HTML,"html, images, frontend",1
204, What does JDBC stand for?,Java Database Connector,Java Data Connection,Java Direct DB Connection,Java Database Connectivity,D,Medium,Databases & SQL, JDBC," java, jdbc, sql",2
205,"In Kubernetes, what is a pod?", A network protocol,A virtual machine  ,A group of containers ,A deployment configuration ,C,Hard,Cloud,Kubernetes ," kubernetes, pods, cloud",3
206, Which hook is used for state in React?, useEffect,useState,useReducer,useMemo,B,Medium,Web Development, React Hooks," react, hooks, state",2
207, Which command stages all changes in Git?, git init,git commit,git add,git push,C,Medium,General, Git," git, staging",2
208,What is the output of typeof null in JavaScript?,, object, undefined,boolean,B,Hard,Language Specific,JavaScript,"javascript, typeof",3
209, Which SQL function is used to count rows?,SUM(), COUNT(), TOTAL(), LENGTH(),B,Easy,Databases & SQL, SQL Functions," sql, count",1
210,Which command creates a virtual environment in Python?, pip install venv,python -m venv env, virtualenv create,venv new,B,Medium,General,Virtual Environment," python, venv",2
211,What is the default localhost port for MySQL?,3306,5432,1521,8080,A,Easy,Databases & SQL, MySQL," mysql, port",1
212, Go uses ___ for concurrency.,Threads, Tasks, Goroutines,Processes,C,Medium,Language Specific,Concurrency," golang, goroutines",2
213,Which HTML attribute is used to define inline styles?,class, id, style, css,C,Easy,Web Development, HTML,"html, inline style",1
214, What is the default scope of a Spring Bean?,session, singleton, prototype, request,B,Medium,General, Spring Framework,"spring, bean scope",2
215, Which keyword is used for defining a type alias in TypeScript?, define,interface,alias, type,D,Medium,Language Specific, TypeScript,"typescript, types",2
216, What does `manage.py runserver` do in Django?,Starts the admin panel,Starts the development server,Migrates the database,Creates a new app,B,Easy,Web Development, Django," django, runserver",1
217,"In Java, what is the default value of a boolean?", true, false,0,,B,Medium,Language Specific, Java,"java, default values",2
218," In Node.js, which object is used to work with file system?", fs, file, path, system,A,Medium,Language Specific, Node.js,"nodejs, fs",2
219, What keyword is used to define an interface in C#?, interface,implements,define,class,A,Easy,Object-Oriented Programming (OOP),Interfaces,"csharp, interfaces",1
220, Which SQL clause filters records?,WHERE, SELECT,GROUP, ORDER,A,Easy,Databases & SQL,SQL Filtering,"sql, where",1
221, Which decorator is used to define an Angular service?,@Injectable, @Service, @Provide, @Component,A,Medium,Web Development, Angular," angular, services",2
222, Which Go type is used for key-value storage?, array, map,struct, slice,B,Easy,Data Structures & Algorithms, Maps,"golang, map",1
223, What tag is used to create a hyperlink in HTML?, <link>, <a>, <href>, <hyperlink>,B,Easy,Web Development, HTML,"html, anchor",1
224,"In React, what is JSX?", A templating engine,JavaScript + XML, JSON parser, Data binding syntax,B,Medium,Web Development,React," react, jsx",2
225, Which HTTP method is used to update a resource?,GET, POST, PUT,DELETE,C,Easy,Web Development, HTTP," http, methods",1
226, Which command creates a new Django app?, django create app, django-admin startapp,startproject app, python startapp,B,Easy,Web Development,Django," django, startapp",1
227, What file is used to configure Git?, git.cfg, .gitignore, .gitconfig, config.git,C,Medium,General,Git," git, config",2
228,What is the purpose of middleware in Express.js?, Manage cookies, Route redirection, Handle request/response preprocessing, Serve static files,C,Medium,Web Development, Express.js," middleware, express",2
229,What HTTP method is used to delete a resource?, REMOVE, DELETE, DESTROY, ERASE,B,Easy,Web Development,HTTP,"http, crud",1
230,Which selector targets a class in CSS?,#, ., ::, &,B,Easy,Web Development, CSS,"css, selectors",1
231,What is the default HTTP method used by a browser form submission?, GET, POST, PUT,PATCH,A,Easy,Web Development, HTTP," http, forms",1
232,What Firebase service is used for user authentication?,Firestore, FirebaseAuth,Auth,Firebase Authentication,D,Medium,Cloud,Firebase," firebase, auth",2
233, What does the `new` keyword do in C++?, Allocates memory, Creates a class instance, Creates a pointer to a variable, Initializes variables,A,Medium,Language Specific, C++," cpp, memory management",2
234, What AWS service is used to host a virtual machine?, EC2,Lambda, S3,RDS,A,Medium,Cloud, AWS,"aws, ec2",2
235, What does the `padding` property do in CSS?, Adds space between the element’s border and content,Adds space between elements, Changes the background color,Sets the border width,A,Easy,Web Development,CSS," css, padding",1
236,Which of the following is the correct syntax for a Ruby block?,do {} end, {} do end,do () end, { } end,A,Medium,Language Specific, Ruby,"ruby, blocks",2
237, What Kubernetes object is used to manage the deployment of pods?, PodController, Deployment, ReplicaSet,Service,B,Medium,Cloud, Kubernetes," kubernetes, deployment",2
238, How can you define an anonymous function in JavaScript?, function() {},function() => {},() => {}, All of the above,D,Medium,Language Specific, JavaScript," javascript, anonymous function",2
239," In Spring Boot, which file contains the configuration for the application’s properties?", application.properties, config.yml, settings.json, spring-config.xml,A,Easy,Web Development, Spring Boot," spring, configuration",1
240,What is the correct HTML tag for inserting a line break?,<break>, <br>, <lb>,<line>,B,Easy,Web Development,HTML," html, line break",1
241, Which of the following is true about `@Autowired` in Spring?,It injects dependencies automatically, It is used to define a database connection, It is used for routing requests in Spring MVC, It configures beans in XML,A,Medium,Web Development, Spring Boot,"spring, autowired",2
242, Which of the following is used to add a new record into a table in SQL Server?, INSERT INTO,ADD RECORD,INSERT INTO TABLE, ADD ROW,A,Easy,Databases & SQL, SQL Server," sql server, insert",1
243, Which PostgreSQL command is used to create a new database?, CREATE DATABASE, NEW DATABASE, MAKE DATABASE, INIT DATABASE,A,Easy,Databases & SQL, PostgreSQL,"postgresql, create database",1
244, What is the correct syntax to link an external JavaScript file to an HTML document?, <link rel=stylesheet href=script.js>, <script href=script.js></script>, <script src=script.js></script>, <link src=script.js>,C,Medium,Web Development,JavaScript," javascript, external file",2
245, What SQL command is used to modify the structure of a table?, UPDATE, INSERT, ALTER, SELECT,C,Medium,Databases & SQL,SQL," sql, alter table",2
246,What is the main purpose of the `each` method in Ruby?, To iterate over a collection, To map a collection, To select an element, To reverse a collection,A,Easy,Language Specific, Ruby," ruby, iteration",1
247, What is the correct way to define an interface in Java?, interface MyInterface {}, MyInterface() {},interface MyInterface() {}, public interface MyInterface {},A,Medium,Language Specific,Java,"java, interface",2
248, Which property is used to change the background color of a webpage in CSS?, background-color, bg-color, color, background,A,Easy,Web Development,CSS,"css, background color",1
249, What is the default port for a MongoDB server?,27017,3306,8080,1433,A,Easy,Databases & SQL, MongoDB," mongodb, port",1
250,Which Python library is used for working with JSON data?, json, jsonlib,pickle, xml,A,Easy,Language Specific,Python,"python, json",1
251,"In Rails, which helper method is used to create a link in a view?", link_to, create_link, generate_link, url_link,A,Medium,Web Development, Rails," rails, link",2
252,"In Spring Boot, what is the purpose of @SpringBootApplication annotation?", To define a class as a configuration class,To initialize the Spring Boot application, To handle database connections, To handle HTTP requests,B,Medium,Web Development,Spring Boot," spring boot, application annotation",2
253,"What is the default port for HTTP?,","21,","22,"," 80,"," 443,",C,Easy,General,"Networking,","HTTP, Networking",1
254," Which JOIN returns only matching rows in SQL?,","LEFT JOIN,"," FULL JOIN,","INNER JOIN,","OUTER JOIN,",C,Medium,Databases & SQL,"Joins,"," SQL, Joins",2
255,"Which AWS service is used to deploy serverless applications?,","EC2,","S3,","Lambda,","DynamoDB,",C,Hard,Cloud," Serverless,"," AWS, Lambda, Cloud",3
256,"Which constraint is used to ensure a column value is unique?,"," FOREIGN KEY,","CHECK,","UNIQUE,","PRIMARY KEY,",C,Medium,Databases & SQL," Constraints,"," SQL, Schema",2
257,"Which event occurs when the user clicks on an HTML element?,","onchange,","onmouseclick,"," onclick,","onmouseover,",C,Easy,Web Development,"Events,","JavaScript, Events",1
258,"Which keyword declares a variable in JavaScript?,","int,"," let,","define,","varr,",B,Easy,Language Specific," JavaScript,","javascript, variables",1
259,"What does `cursor.execute()` do in Python's MySQL connector?,","Compiles a function,","Saves a database,"," Executes SQL query,"," Initializes Flask app,",C,Medium,Databases & SQL,"Python + SQL,"," mysql, python, cursor",2
260,"What is the default port for HTTP?,","443,"," 21,","80,","22,",C,Easy,Web Development,"Networking,","networking, http, ports",1
261," Which operator is used for pointer dereferencing in C++?,"," *,"," &,"," ->,"," %,",A,Medium,Language Specific,"Pointers,"," c++, pointers",2
262," Which CSS property changes the text color?,","font-color,","text-color,"," color,"," background-color,",C,Easy,Web Development,"CSS Basics,"," css, styles",1
263," Which annotation is used for REST controllers in Spring Boot?,"," @Controller,","@RestController,","@Service,","@Component,",B,Medium,Web Development,"Spring Boot,"," spring, annotations",2
264," In JavaScript, what will typeof null return?,","null,"," object,"," undefined,","boolean,",B,Hard,Language Specific,"JavaScript Quirks,"," javascript, typeof",3
265," Which pointer type returns multiple values?,","Null Pointer,","Void Pointer,"," Function Pointer,","Double Pointer,",D,Hard,Language Specific,"C++ Pointers,","c++, pointers",3
266,How do you comment a line in JavaScript?,// comment, <!-- comment -->, \* comment *\,-- comment --,A,Medium,Language Specific,JavaScript,"javascript, comments",2
267,Which interface is used to create threads in Java?,Runnable,Executor,Callable, Threadable,A,Hard,Language Specific,Multithreading,"java, threading",3
268, What is the time complexity of binary search?, O(n)  , O(log n)  ,O(n log n),O(1),B,Medium,Data Structures & Algorithms,Searching ,"algorithms, complexity, search ",2
269,Which HTTP method is used to update data?, GET, POST,DELETE,PUT,D,Easy,Web Development,REST APIs,"http, api, put",1
270, What data structure uses LIFO?,Queue, Stack, Array, Tree,B,Medium,Data Structures & Algorithms,Stack," stack, lifo",2
271,What keyword is used to define an async function in JavaScript?, async, await,promise, defer,A,Medium,Language Specific, Asynchronous JS," javascript, async",2
272, What is the file extension for a C# source file?,.cs,.cpp,.csharp, .c,A,Easy,Language Specific, C#," csharp, file format",1
273,Which function fetches all rows from an SQLite cursor?,getall(), fetchall(),retrieve(), allrows(),B,Medium,Databases & SQL, SQLite," sqlite, fetch, python",2
274,Laravel uses ___ as its templating engine.,Handlebars, Blade, Twig, Smarty,B,Medium,Web Development, Laravel,"laravel, blade, template",2
275, Which tool is used to manage Go dependencies?,pip,npm,dep, go mod,D,Medium,Language Specific, Dependency Management," golang, modules",2
276, What is the default position of an HTML element?,relative, fixed, static, absolute,C,Medium,Web Development,CSS," css, positioning",2
277, What is used to auto-generate IDs in JPA?, @Auto,@IdGenerator, @GeneratedValue, @AutoID,C,Medium,Databases & SQL, JPA," jpa, annotations",2
278, What is the use of `useEffect` in React?, Handle state,Manage styles, Run side-effects, Render UI,C,Medium,Web Development, React," react, useEffect",2
279, PostgreSQL is an example of a ___ database., NoSQL, In-memory, Relational, Graph,C,Easy,Databases & SQL, PostgreSQL," postgresql, relational",1
280,Which keyword is used to define a class in Java?, def, function,class, new,C,Easy,Object-Oriented Programming (OOP),Java Classes," java, class",1
281, What is the default port of MongoDB?,8080,3000,27017,1433,C,Medium,Databases & SQL, MongoDB," mongodb, ports",2
282,Which SQL Server clause is used to group results?,GROUP,ORDER, GROUP BY,SORT BY,C,Medium,Databases & SQL, SQL Aggregation," sqlserver, groupby",2
283, What symbol is used to comment a single line in Python?, //, /*, --, #,D,Easy,Language Specific, Python,"python, comments",1
284, What is the purpose of Angular CLI?, Manage SQL, Generate APIs, Scaffold and manage Angular apps, Create CSS frameworks,C,Medium,Web Development,Angular CLI,"angular, cli",2
285,What is the default orchestrator used with Docker Swarm?,Nomad, Kubernetes,SwarmKit, Marathon,C,Hard,Cloud,Docker Swarm," docker, swarm",3
286,"In Java, which method is used to get string length?",length, getLength(), size(), length(),D,Easy,Language Specific,Java Strings,"java, strings",1
287,Which array method creates a new array by filtering?, map(), filter(), reduce(),sort(),B,Easy,Language Specific, JavaScript Arrays," javascript, array",1
288, What is the main purpose of Spring Data JPA?, UI binding,Logging, Data access abstraction,Caching,C,Medium,Databases & SQL, Spring Data JPA,"springboot, jpa",2
289,Which SQL command is used to delete data?, ERASE, REMOVE, DELETE, DROP,C,Easy,Databases & SQL, SQL Basics,"sql, delete",1
290,What is the extension of a compiled C++ file?, .cpp, .out, .o,.exe,B,Medium,Language Specific, C++ Compilation," cpp, compile",2
291,What method is used to parse JSON in JavaScript?, JSON.decode(), JSON.toObject(),JSON.stringify(), JSON.parse(),D,Easy,Language Specific,JavaScript,"javascript, json",1
292,What data format is returned by Flask’s jsonify?, XML, CSV, JSON, HTML,C,Easy,Web Development,Flask,"flask, json",1
293, What command initializes a Git repository?, git init, git start,git create,git new,A,Easy,General, Git,"git, init",1
294,What keyword is used to handle exceptions in Java?, try, catch, throw,All of the above,D,Medium,Language Specific, Java Exceptions," java, exceptions",2
295, Angular uses which language to write templates?, HTML, CSS, TypeScript, XML,A,Easy,Web Development, Angular," angular, templates",1
296, Which of the following is the main function in a C++ program?, void main(), int main(), main(), start(),B,Easy,Language Specific, C++," cpp, main function",1
297," In Spring MVC, which of the following annotations is used to define a controller?", @Controller,@RequestMapping, @RestController, @Service,A,Medium,Web Development, Spring," spring, mvc",2
298, What does the JavaScript `alert()` function do?, Displays a message on the webpage, Displays a pop-up message box, Changes the content of the page,Sends a message to the console,B,Easy,Language Specific,JavaScript," javascript, alert",1
299,Which SQL command is used to retrieve data from a database?, GET, FETCH,SELECT, RETRIEVE,C,Easy,Databases & SQL, SQL,"sql, select",1
300, Which of the following is a Go feature that allows lightweight concurrent execution?, Threading, Tasking,Goroutines,Processes,C,Medium,Language Specific, Go," go, concurrency",2
301, What type of database is MongoDB?, Relational database, Document-based NoSQL database, Key-Value store, Graph database,B,Medium,Databases & SQL, MongoDB," mongodb, database",2
302, Which SQL command is used to update an existing record in a table?, INSERT, UPDATE, ALTER, MODIFY,B,Easy,Databases & SQL,SQL,"sql, update",1
303, What does the `print()` function do in Python?, Prints the data on the console, Prints the data to a file,Prints data on the webpage, None of the above,A,Easy,Language Specific,Python,"python, print",1
304," In MySQL, which command is used to add a new column to an existing table?", ADD COLUMN, ALTER COLUMN, MODIFY COLUMN, CREATE COLUMN,A,Medium,Databases & SQL, SQL,"mysql, add column",2
305, Which design pattern is often used to define a single instance class in C#?,Singleton, Factory,Observer, Prototype,A,Medium,Language Specific,Design Patterns," c#, singleton",2
306, How can you define a static method in Python?, @staticmethod, static def, def static_method, staticmethod(),A,Medium,Language Specific, Python," python, static method",2
307, How do you declare a variable in JavaScript?, var variable;, let variable;, const variable;, All of the above,D,Medium,Language Specific,JavaScript,"javascript, variable",2
308,"In SQL Server, which statement is used to delete a table?", DELETE, DROP TABLE, REMOVE TABLE, TRUNCATE,B,Medium,Databases & SQL, SQL Server," sql server, drop table",2
309,"In Ruby, which operator is used for string concatenation?",+, ., &, &&,A,Easy,Language Specific, Ruby," ruby, string",1
310," In Java, what does the `finally` block do in exception handling?", It is executed only when an exception is thrown.," It is always executed, regardless of whether an exception is thrown.", It is executed only when there is no exception., It is executed only if the exception is caught.,B,Medium,Language Specific,Java,"java, exception handling",2
311,What does CSS stand for?, Color Style Sheets, Cascading Style Sheets,Creative Style Sheets, Computer Style Sheets,B,Easy,Web Development,CSS," css, definition",1
312, What does the `find()` method do in MongoDB?, Retrieves a single document from a collection,Retrieves all documents from a collection, Creates a new document, Deletes a document,B,Medium,Databases & SQL, MongoDB," mongodb, find",2
313, How can you define a virtual environment in Python?, virtualenv venv, python -env create,env python, pip install virtualenv,A,Medium,Language Specific, Python," python, virtual environment",2
314, How do you define an instance variable in Ruby?, @variable, $variable, variable,@@variable,A,Medium,Language Specific, Ruby,"ruby, instance variable",2
315,How can you close a connection in Java's JDBC?, closeConnection(), conn.close(),connection.closeConnection(), disconnect(),B,Medium,Language Specific,Java,"java, jdbc",2
